Sale_ID,Sale_Date,Sale_Date_Flag,Year,Month,Quarter,Region,Country,Dealer_Name,Model,Segment,Fuel_Type,CUSAtomer_Segment,Customer_Segment_Cleaned,Currency,Currency_Cleaned,Units_Sold,Unit_Price_Local,Discount_Pct,Total_Revenue_Local,Total_Revenue_Local_Flag,Revenue_EUR,COGS_EUR,Gross_Profit_EUR,Customer_Age,Customer_Age_Flag,CUSAtomer_Gender,Satisfaction_Score,Satisfactory_Score_Flag
BMW-4086,21-03-2026,CORRUPTED,2023,7,Q3,Australia,Australia,Sydney BMW,BMW 5 Series,Sedan,Diesel,Individual,Individual,AUD,AUD,1,89130.12,4.27,89130.12,OK,54018.26,40626.56,13391.7,46,OK,Female,-1,BAD SCORE
BMW-4283,03-03-2026,CORRUPTED,2023,10,Q4,USA,USA,Chicago Motors,BMW 3 Series,Sedan,Diesel,Corporate Fleet,Corporate Fleet,USD,USD,2,43775.43,7.92,87550.87,OK,80321.9,62803.63,17518.27,64,OK,Prefer not to say,-1,BAD SCORE
BMW-2459,05-12-2025,CORRUPTED,2021,10,Q4,USA,USA,Miami Auto Group,BMW X5,SUV,Petrol,Corporate Fleet,Corporate Fleet,USD,USD,1,82363.84,0.53,82363.84,OK,75563.15,54694.5,20868.65,27,OK,Male,-1,BAD SCORE
BMW-5377,09-10-2025,CORRUPTED,2024,10,Q4,Australia,Australia,Melbourne Auto Group,BMW 3 Series,Sedan,Hybrid,Individual,Individual,AUD,AUD,1,78523.32,2.87,78523.32,OK,47589.89,35276.55,12313.35,34,OK,Male,-1,BAD SCORE
BMW-4717,17-04-2025,CORRUPTED,2024,3,Q1,USA,USA,Miami Auto Group,BMW 5 Series,Sedan,Diesel,Individual,Individual,USD,USD,1,68766.54,3.28,68766.54,OK,63088.57,46962.24,16126.33,44,OK,Prefer not to say,-1,BAD SCORE
BMW-3026,05-10-2024,CORRUPTED,2022,6,Q2,USA,USA,Chicago Motors,BMW X3,SUV,Diesel,individual,Individual,USD,USD,1,61001.04,0.63,61001.04,OK,55964.26,40549.56,15414.7,46,OK,Male,-1,BAD SCORE
BMW-5518,25-04-2024,CORRUPTED,2024,12,Q4,UK,UK,Manchester Prestige,BMW i4,Electric,Electric,Individual,Individual,GBP,GBP,1,55857.58,7.78,55857.58,OK,64950.68,50707.13,14243.55,39,OK,Prefer not to say,-1,BAD SCORE
BMW-4788,12-07-2023,CORRUPTED,2024,4,Q2,USA,USA,Dallas BMW,BMW 3 Series,Sedan,Hybrid,Individual,Individual,USD,USD,1,45133.82,6.16,45133.82,OK,41407.17,31768.53,9638.64,32,OK,Male,-1,BAD SCORE
BMW-3097,26-10-2022,CORRUPTED,2022,7,Q3,Germany,Germany,Hamburg Drive,BMW 3 Series,Sedan,Diesel,Government,Government,EUR,EUR,5,46665.46,0.32,2333.273,OK,233327.3,168531.06,64796.24,57,OK,Female,-1,BAD SCORE
BMW-4609,25-10-2034,CORRUPTED,2024,1,Q1,South Africa,South Africa,Johannesburg Motors,BMW X5,SUV,Hybrid,Lease,Lease,ZAR,ZAR,8,1493277.13,2.62,11946217.01,OK,597310.85,441656.54,155654.31,42,OK,Female,0,BAD SCORE
BMW-2489,24-12-2033,CORRUPTED,2021,10,Q4,India,India,Delhi Prestige Auto,BMW 3 Series,Sedan,Petrol,Individual,Individual,INR,INR,1,3643969.64,7.17,3643969.64,OK,40043.62,31057.13,8986.5,27,OK,Male,0,BAD SCORE
BMW-3892,17-07-2033,CORRUPTED,2023,5,Q2,China,China,Shenzhen Auto,BMW i4,Electric,Electric,Corporate Fleet,Corporate Fleet,CNY,CNY,4,564894.19,3.18,2259576.76,OK,286022.37,212706.62,73315.75,28,OK,Female,0,BAD SCORE
BMW-4847,15-04-2033,CORRUPTED,2024,4,Q2,South Africa,South Africa,Cape Town BMW,BMW iX,Electric,Electric,Individual,Individual,ZAR,ZAR,1,1818910.2,1.17,1818910.2,OK,90945.51,66254.03,24691.48,68,OK,Female,0,BAD SCORE
BMW-3217,13-08-2031,CORRUPTED,2022,8,Q3,UAE,UAE,Dubai BMW,BMW X5,SUV,Petrol,Lease,Lease,AED,AED,2,320035.17,2.64,640070.35,OK,160017.59,118336.51,41681.08,35,OK,Male,0,BAD SCORE
BMW-3246,25-05-2031,CORRUPTED,2022,9,Q3,USA,USA,New York BMW,BMW X5,SUV,Hybrid,Corporate Fleet,Corporate Fleet,USD,USD,7,84965.78,3.88,594760.47,OK,545651.81,408737.49,136914.31,27,OK,Prefer not to say,0,BAD SCORE
BMW-2312,21-04-2031,CORRUPTED,2021,8,Q3,USA,USA,Dallas BMW,BMW 7 Series,Sedan,Petrol,Corporate Fleet,Corporate Fleet,USD,USD,6,96045.42,5.65,576272.5,OK,528690.36,403464.22,125226.14,70,OK,Female,0,BAD SCORE
BMW-2915,20-06-2030,CORRUPTED,2022,4,Q2,China,China,,BMW 5 Series,Sedan,,Individual,Individual,CNY,CNY,1,438344.85,,438344.85,OK,55486.69,41726.59,13760.1,,BAD AGE,,0,BAD SCORE
BMW-1194,13-04-2030,CORRUPTED,2020,3,Q1,Australia,Australia,Melbourne Auto Group,BMW X3,SUV,Diesel,Corporate Fleet,Corporate Fleet,AUD,AUD,5,83857.46,1.31,419287.29,OK,254113.51,185388.93,68724.58,50,OK,Male,0,BAD SCORE
BMW-4068,28-11-2029,CORRUPTED,2023,7,Q3,China,China,Shenzhen Auto,BMW X3,SUV,Petrol,Individual,Individual,CNY,CNY,1,386375.5,1.76,386375.5,OK,48908.29,35844.26,13064.03,37,OK,Prefer not to say,0,BAD SCORE
BMW-2195,25-09-2029,CORRUPTED,2021,6,Q2,UK,UK,Edinburgh Motors,BMW 7 Series,Sedan,Diesel,Government,Government,GBP,GBP,4,91627.93,0.39,366511.71,OK,426176.41,308060.05,118116.35,63,OK,Female,0,BAD SCORE
BMW-2514,21-04-2028,CORRUPTED,2021,11,Q4,Germany,Germany,Hamburg Drive,BMW X3,SUV,Hybrid,Lease,Lease,EUR,EUR,4,56632.2,2.25,226528.79,OK,226528.79,166858.07,59670.72,41,OK,Male,0,BAD SCORE
BMW-3516,16-04-2026,CORRUPTED,2022,12,Q4,Australia,Australia,,BMW X3,SUV,,Individual,Individual,AUD,AUD,1,91200.44,,91200.44,OK,55272.99,41101.57,14171.42,,BAD AGE,,0,BAD SCORE
BMW-1210,17-11-2025,CORRUPTED,2020,4,Q2,Germany,Germany,Hamburg Drive,BMW X5,SUV,Hybrid,Individual,Individual,EUR,EUR,1,81034.39,1.23,81034.39,OK,81034.39,59069.43,21964.96,67,OK,Prefer not to say,0,BAD SCORE
BMW-1356,01-11-2025,CORRUPTED,2020,6,Q2,USA,USA,Beverly Hills BMW,BMW X5,SUV,Diesel,individual,Individual,USD,USD,1,80073.12,5.05,80073.12,OK,73461.58,55706.92,17754.66,38,OK,Prefer not to say,0,BAD SCORE
BMW-5471,14-06-2025,CORRUPTED,2024,12,Q4,Germany,Germany,Hamburg Drive,BMW X5,SUV,Diesel,Individual,Individual,EUR,EUR,1,72611.01,7.11,72611.01,OK,72611.01,56283.12,16327.89,50,OK,Male,0,BAD SCORE
BMW-3321,28-08-2024,CORRUPTED,2022,10,Q4,USA,USA,New York BMW,BMW X3,SUV,Hybrid,Individual,Individual,USD,USD,1,59474.9,4.09,59474.9,OK,54564.13,40962.48,13601.65,27,OK,Male,0,BAD SCORE
BMW-3763,20-01-2024,CORRUPTED,2023,4,Q2,Germany,Germany,Stuttgart Motors,BMW X3,SUV,Diesel,corporate fleet,Corporate Fleet,EUR,EUR,1,52477.45,5.9,52477.45,OK,52477.45,40154.32,12323.12,64,OK,Male,0,BAD SCORE
BMW-1407,16-10-2023,CORRUPTED,2020,7,Q3,Germany,Germany,Hamburg Drive,BMW X3,SUV,Petrol,Individual,Individual,EUR,EUR,1,48624.99,6.24,48624.99,OK,48624.99,37341.69,11283.31,38,OK,Male,0,BAD SCORE
BMW-3728,21-05-2029,CORRUPTED,2023,3,Q1,China,China,Guangzhou BMW,BMW 3 Series,Sedan,Hybrid,Individual,Individual,CNY,CNY,1,338546.24,5.18,338546.24,OK,42853.95,32541.02,10312.94,43,OK,Prefer not to say,1.8,OK
BMW-3529,13-07-2024,CORRUPTED,2023,1,Q1,Germany,Germany,Stuttgart Motors,BMW 5 Series,Sedan,Petrol,Individual,Individual,EUR,EUR,1,58209.26,1.06,58209.26,OK,58209.26,42358.52,15850.74,50,OK,Prefer not to say,1.9,OK
BMW-2881,28-02-2026,CORRUPTED,2022,4,Q2,USA,USA,Miami Auto Group,BMW iX,Electric,Electric,Individual,Individual,USD,USD,1,87359.36,6.5,87359.36,OK,80146.2,61718.09,18428.11,53,OK,Prefer not to say,2,OK
BMW-2579,17-12-2028,CORRUPTED,2021,11,Q4,UAE,UAE,Dubai BMW,BMW X5,SUV,Diesel,Individual,Individual,AED,AED,1,300919.06,6.66,300919.06,OK,75229.76,58027.47,17202.3,-5,BAD AGE,Female,2.2,OK
BMW-4715,15-01-2025,CORRUPTED,2024,3,Q1,USA,USA,New York BMW,BMW 5 Series,Sedan,Petrol,Individual,Individual,USD,USD,1,64509.03,5.28,64509.03,OK,59182.59,44986.78,14195.82,38,OK,Male,2.2,OK
BMW-3720,03-12-2022,CORRUPTED,2023,3,Q1,UK,UK,London BMW Centre,BMW 2 Series,Coupe,Petrol,Individual,Individual,Gbp,GBP,1,31012.75,7.24,31012.75,OK,36061.34,27989.42,8071.92,61,OK,Prefer not to say,2.2,OK
BMW-1661,08-06-2033,CORRUPTED,2020,10,Q4,UAE,UAE,Dubai BMW,BMW X5,SUV,Diesel,Lease,Lease,AED,AED,7,295103.9,5.78,2065727.33,OK,516431.83,394648.11,121783.72,62,OK,Prefer not to say,2.3,OK
BMW-1981,06-06-2025,CORRUPTED,2021,3,Q1,USA,USA,Beverly Hills BMW,BMW i4,Electric,Electric,Individual,Individual,USD,USD,1,72078.39,6.01,72078.39,OK,66126.96,50655.51,15471.45,51,OK,Female,2.3,OK
BMW-2794,07-02-2025,CORRUPTED,2022,3,Q1,Germany,Germany,BMW Munich HQ,BMW i4,Electric,Electric,Individual,Individual,EUR,EUR,1,65613.16,1.2,65613.16,OK,65613.16,47812.93,17800.23,36,OK,Male,2.3,OK
BMW-4642,04-05-2024,CORRUPTED,2024,2,Q1,UK,UK,London BMW Centre,BMW i4,Electric,Electric,Lease,Lease,GBP,GBP,1,56008.31,7.61,56008.31,OK,65125.95,50752.03,14373.92,32,OK,Male,2.3,OK
BMW-3186,30-09-2022,CORRUPTED,2022,8,Q3,USA,USA,Miami Auto Group,BMW 2 Series,Coupe,Hybrid,Individual,Individual,USD,USD,1,39929.52,7.53,399.2952,OK,36632.59,28522.56,8110.02,56,OK,Prefer not to say,2.3,OK
BMW-2643,01-01-2035,CORRUPTED,2021,12,Q4,India,India,Mumbai BMW,BMW 2 Series,Coupe,Hybrid,Lease,Lease,INR,INR,8,3706157.02,3.06,29649256.16,OK,325816,241989.76,83826.24,55,OK,Prefer not to say,2.4,OK
BMW-2005,04-09-2034,CORRUPTED,2021,3,Q1,India,India,Delhi Prestige Auto,BMW 3 Series,Sedan,Petrol,Corporate Fleet,Corporate Fleet,INR,INR,2,4404957.15,0.95,8809914.3,OK,96812.25,70372.76,26439.49,38,OK,Prefer not to say,2.4,OK
BMW-3494,20-05-2031,CORRUPTED,2022,12,Q4,China,China,Beijing Luxury Motors,BMW X5,SUV,Diesel,Individual,Individual,CNY,CNY,1,591166.73,3.71,591166.73,OK,74831.23,55956.82,18874.41,60,OK,Female,2.4,OK
BMW-2533,03-09-2030,CORRUPTED,2021,11,Q4,USA,USA,Chicago Motors,BMW i4,Electric,Electric,corporate fleet,Corporate Fleet,USD,USD,7,66681.6,5.01,466771.2,OK,428230.46,324602.88,103627.57,25,OK,Male,2.4,OK
BMW-5260,04-02-2030,CORRUPTED,2024,9,Q3,UK,UK,Manchester Prestige,BMW X3,SUV,Petrol,Corporate Fleet,Corporate Fleet,Gbp,GBP,8,50724.33,0.81,405794.6,OK,471854.19,342516.35,129337.83,48,OK,Female,2.4,OK
BMW-2527,06-05-2028,CORRUPTED,2021,11,Q4,USA,USA,Chicago Motors,BMW M5,M Sport,Hybrid,Corporate Fleet,Corporate Fleet,USD,USD,2,115236.51,3.38,230473.02,OK,211443.13,157567.18,53875.95,31,OK,Male,2.4,OK
BMW-2535,18-09-2027,CORRUPTED,2021,11,Q4,USA,USA,New York BMW,BMW 2 Series,Coupe,Diesel,corporate fleet,Corporate Fleet,USD,USD,4,40806.86,7.33,163227.43,OK,149749.93,116353.36,33396.57,66,OK,Female,2.4,OK
BMW-4209,16-09-2026,CORRUPTED,2023,9,Q3,USA,USA,Beverly Hills BMW,BMW iX,Electric,Electric,Individual,Individual,USD,USD,1,102195.16,0.81,102195.16,OK,93757.03,68058.1,25698.93,56,OK,Prefer not to say,2.4,OK
BMW-3613,14-09-2022,CORRUPTED,2023,2,Q1,Germany,Germany,BMW Munich HQ,BMW 5 Series,Sedan,Hybrid,corporate fleet,Corporate Fleet,EUR,EUR,2,60955.33,3.1,-121910.66,BAD REVENUE,121910.66,90581.01,31329.65,32,OK,Female,2.4,OK
BMW-4579,07-08-2033,CORRUPTED,2024,1,Q1,China,China,Beijing Luxury Motors,BMW 3 Series,Sedan,Hybrid,Government,Government,CNY,CNY,8,302216.76,7.14,2417734.08,OK,306042.29,237299.18,68743.11,61,OK,Prefer not to say,2.5,OK
BMW-4082,22-09-2032,CORRUPTED,2023,7,Q3,UAE,UAE,Abu Dhabi Motors,BMW 5 Series,Sedan,Hybrid,government,Government,AED,AED,5,224443.21,2.45,1122216.05,OK,280554.01,207081.03,73472.98,53,OK,Prefer not to say,2.5,OK
BMW-4031,02-06-2031,CORRUPTED,2023,7,Q3,USA,USA,Miami Auto Group,BMW X5,SUV,Petrol,Corporate Fleet,Corporate Fleet,USD,USD,7,85469.22,4.39,598284.54,OK,548884.9,413323.99,135560.91,44,OK,Male,2.5,OK
BMW-1231,18-01-2025,CORRUPTED,2020,4,Q2,UK,UK,Edinburgh Motors,BMW X5,SUV,Petrol,Individual,Individual,GBP,GBP,1,64615.04,3.27,64615.04,OK,75133.77,55924.99,19208.78,34,OK,Female,2.5,OK
BMW-5240,09-09-2024,CORRUPTED,2024,9,Q3,USA,USA,Chicago Motors,BMW 5 Series,Sedan,Petrol,Individual,Individual,USD,USD,1,59778.91,1.65,59778.91,OK,54843.04,40147.67,14695.37,65,OK,Prefer not to say,2.5,OK
BMW-2812,02-08-2024,CORRUPTED,2022,3,Q1,USA,USA,New York BMW,BMW 5 Series,Sedan,Diesel,Individual,Individual,USD,USD,1,58506.05,7.06,58506.05,OK,53675.27,41581.86,12093.41,61,OK,Female,2.5,OK
BMW-4392,11-07-2034,CORRUPTED,2023,11,Q4,China,China,Beijing Luxury Motors,BMW M5,M Sport,Petrol,Government,Government,CNY,CNY,7,979490.4,4.42,6856432.81,OK,867902.89,653801.03,214101.86,25,OK,Prefer not to say,2.6,OK
BMW-4849,28-06-2034,CORRUPTED,2024,4,Q2,South Africa,South Africa,Johannesburg Motors,BMW 3 Series,Sedan,Petrol,Corporate Fleet,Corporate Fleet,ZAR,ZAR,7,959208.62,0.87,6714460.33,OK,335723.02,243838.32,91884.7,47,OK,Male,2.6,OK
BMW-2774,03-01-2034,CORRUPTED,2022,2,Q1,India,India,Mumbai BMW,BMW 3 Series,Sedan,Petrol,Individual,Individual,INR,INR,1,3737098.94,1.76,3737098.94,OK,41067.02,30096.48,10970.54,69,OK,Male,2.6,OK
BMW-1392,22-05-2033,CORRUPTED,2020,6,Q2,UAE,UAE,Dubai BMW,BMW iX,Electric,Electric,Corporate Fleet,Corporate Fleet,AED,AED,6,332374,6.91,1994243.97,OK,498560.99,385595.74,112965.26,37,OK,Female,2.6,OK
BMW-4056,06-11-2031,CORRUPTED,2023,7,Q3,China,China,Shenzhen Auto,BMW iX,Electric,Electric,lease,Lease,CNY,CNY,1,700512.13,4.99,700512.13,OK,88672.42,67196.59,21475.84,59,OK,Prefer not to say,2.6,OK
BMW-3990,17-02-2031,CORRUPTED,2023,6,Q2,Australia,Australia,Melbourne Auto Group,BMW iX,Electric,Electric,corporate fleet,Corporate Fleet,AUD,AUD,4,135285.43,4.65,541141.73,OK,327964.69,247647.33,80317.36,28,OK,Male,2.6,OK
BMW-4379,01-07-2030,CORRUPTED,2023,11,Q4,China,China,Shenzhen Auto,BMW X3,SUV,Hybrid,Lease,Lease,CNY,CNY,1,441901.82,2.72,441901.82,OK,55936.94,41401.07,14535.87,35,OK,Male,2.6,OK
BMW-4992,16-01-2029,CORRUPTED,2024,6,Q2,China,China,Shenzhen Auto,BMW 2 Series,Coupe,Diesel,Corporate Fleet,Corporate Fleet,CNY,CNY,1,306471.73,1.54,306471.73,OK,38793.89,28367.27,10426.62,63,OK,Prefer not to say,2.6,OK
BMW-1763,01-05-2028,CORRUPTED,2020,12,Q4,Germany,Germany,BMW Munich HQ,BMW 3 Series,Sedan,Diesel,Lease,Lease,EUR,EUR,6,38103.26,7.78,228619.56,OK,228619.56,178501.78,50117.78,52,OK,Female,2.6,OK
BMW-4982,10-03-2027,CORRUPTED,2024,6,Q2,USA,USA,Beverly Hills BMW,BMW M5,M Sport,Petrol,individual,Individual,USD,USD,1,122940.82,3.53,122940.82,OK,112789.74,84182.05,28607.69,51,OK,Male,2.6,OK
BMW-5049,25-02-2027,CORRUPTED,2024,7,Q3,USA,USA,Beverly Hills BMW,BMW X3,SUV,Petrol,Corporate Fleet,Corporate Fleet,USD,USD,2,60563,1.73,121125.99,OK,111124.76,81415.82,29708.94,36,OK,Female,2.6,OK
BMW-3381,02-01-2026,CORRUPTED,2022,11,Q4,Germany,Germany,AutohaUSA Berlin,BMW M3,M Sport,Diesel,Individual,Individual,EUR,EUR,1,83781.49,2.03,83781.49,OK,83781.49,61570.83,22210.66,67,OK,Prefer not to say,2.6,OK
BMW-2952,17-07-2025,CORRUPTED,2022,5,Q2,USA,USA,Miami Auto Group,BMW X5,SUV,Diesel,Individual,Individual,USD,USD,1,74579.16,6.54,74579.16,OK,68421.25,52712.39,15708.85,999,BAD AGE,Prefer not to say,2.6,OK
BMW-2091,14-03-2025,CORRUPTED,2021,5,Q2,Germany,Germany,Hamburg Drive,BMW i4,Electric,Electric,Individual,Individual,EUR,EUR,1,67284.39,7.96,67284.39,OK,67284.39,52637.07,14647.32,39,OK,Male,2.6,OK
BMW-5108,10-10-2032,CORRUPTED,2024,7,Q3,UAE,UAE,Dubai BMW,BMW X5,SUV,Diesel,Government,Government,AED,AED,4,302299.65,6.02,1209198.58,OK,302299.65,231598.31,70701.34,48,OK,Male,2.7,OK
BMW-1460,05-09-2031,CORRUPTED,2020,7,Q3,Australia,Australia,Melbourne Auto Group,BMW X3,SUV,Petrol,Government,Government,AUD,AUD,8,81944.63,5.9,655557.04,OK,397307.3,303993.39,93313.91,54,OK,Female,2.7,OK
BMW-2827,01-02-2031,CORRUPTED,2022,3,Q1,China,China,Shanghai BMW,BMW X5,SUV,Hybrid,Individual,Individual,CNY,CNY,1,529958.18,1.93,529958.18,OK,67083.31,49250.5,17832.82,40,OK,Female,2.7,OK
BMW-3273,22-01-2030,CORRUPTED,2022,9,Q3,China,China,Beijing Luxury Motors,BMW X3,SUV,Petrol,individual,Individual,CNY,CNY,1,401911.42,1.25,401911.42,OK,50874.86,37092.07,13782.79,33,OK,Male,2.7,OK
BMW-1219,23-10-2029,CORRUPTED,2020,4,Q2,USA,USA,Chicago Motors,BMW X3,SUV,Petrol,Lease,Lease,USD,USD,6,62492.61,2.77,374955.69,OK,343996.04,254735.27,89260.77,61,OK,Female,2.7,OK
BMW-1577,18-09-2029,CORRUPTED,2020,9,Q3,China,China,Guangzhou BMW,BMW 3 Series,Sedan,Diesel,Individual,Individual,CNY,CNY,1,364771.78,4.37,364771.78,OK,46173.64,34765.38,11408.27,28,OK,Prefer not to say,2.7,OK
BMW-5011,14-03-2029,CORRUPTED,2024,6,Q2,UAE,UAE,Dubai BMW,BMW M3,M Sport,Hybrid,Individual,Individual,AED,AED,1,320697.37,5.2,320697.37,OK,80174.34,60894.86,19279.48,39,OK,Male,2.7,OK
BMW-3119,12-05-2028,CORRUPTED,2022,7,Q3,UK,UK,Edinburgh Motors,BMW 3 Series,Sedan,Diesel,Corporate Fleet,Corporate Fleet,GBP,GBP,6,38795,6.9,232770.02,OK,270662.81,209323.48,61339.33,68,OK,Prefer not to say,2.7,OK
BMW-2146,28-07-2027,CORRUPTED,2021,5,Q2,UAE,UAE,Dubai BMW,BMW 2 Series,Coupe,Diesel,Individual,Individual,AED,AED,1,150086.63,4.09,150086.63,OK,37521.66,28168.73,9352.93,27,OK,Prefer not to say,2.7,OK
BMW-1774,15-01-2027,CORRUPTED,2020,12,Q4,USA,USA,Dallas BMW,BMW 2 Series,Coupe,Diesel,Lease,Lease,USD,USD,3,38545.76,4.11,115637.28,OK,106089.24,79658.9,26430.34,27,OK,Male,2.7,OK
BMW-3850,19-11-2025,CORRUPTED,2023,5,Q2,Germany,Germany,Hamburg Drive,BMW iX,Electric,Electric,Individual,Individual,EUR,EUR,1,81106.51,4.05,81106.51,OK,81106.51,60862.85,20243.65,60,OK,Male,2.7,OK
BMW-1709,18-09-2025,CORRUPTED,2020,11,Q4,UK,UK,Edinburgh Motors,BMW iX,Electric,Electric,Individual,Individual,GBP,GBP,1,77549.77,6.18,77549.77,OK,90174.15,69204.56,20969.59,35,OK,Female,2.7,OK
BMW-4871,08-04-2025,CORRUPTED,2024,5,Q2,Germany,Germany,Hamburg Drive,BMW i4,Electric,Electric,Individual,Individual,EUR,EUR,1,68330.2,0.84,68330.2,OK,68330.2,49616.84,18713.36,59,OK,Prefer not to say,2.7,OK
BMW-3403,24-05-2024,CORRUPTED,2022,11,Q4,UK,UK,Edinburgh Motors,BMW i4,Electric,Electric,individual,Individual,GBP,GBP,1,56827.23,3.98,56827.23,OK,66078.17,49546.88,16531.29,55,OK,Prefer not to say,2.7,OK
BMW-5073,02-03-2024,CORRUPTED,2024,7,Q3,UK,UK,London BMW Centre,BMW i4,Electric,Electric,Individual,Individual,GBP,GBP,1,53896.75,2.34,53896.75,OK,62670.64,46202.2,16468.44,47,OK,Prefer not to say,2.7,OK
BMW-4797,26-08-2023,CORRUPTED,2024,4,Q2,UK,UK,Manchester Prestige,BMW X3,SUV,Hybrid,Individual,Individual,GBP,GBP,1,46720.73,7.79,46720.73,OK,54326.43,42418.14,11908.28,70,OK,Male,2.7,OK
BMW-1163,16-03-2023,CORRUPTED,2020,3,Q1,UK,UK,Manchester Prestige,BMW 3 Series,Sedan,Petrol,Individual,Individual,gbp,GBP,1,40110.62,0.31,40110.62,OK,46640.25,33686.92,12953.33,54,OK,Male,2.7,OK
BMW-5237,11-09-2022,CORRUPTED,2024,9,Q3,USA,USA,Chicago Motors,BMW i4,Electric,Electric,Corporate Fleet,Corporate Fleet,USD,USD,2,69473.72,7.11,-138947.44,BAD REVENUE,127474.72,98806.78,28667.93,45,OK,Prefer not to say,2.7,OK
BMW-2073,29-11-2034,CORRUPTED,2021,4,Q2,India,India,Bangalore Motors,BMW 5 Series,Sedan,Diesel,Lease,Lease,INR,INR,4,4994725.37,2.07,19978901.46,OK,219548.37,161414.05,58134.32,51,OK,Female,2.8,OK
BMW-2075,23-07-2034,CORRUPTED,2021,4,Q2,India,India,Bangalore Motors,BMW M3,M Sport,Petrol,Individual,Individual,INR,INR,1,7175546.24,2.37,7175546.24,OK,78852.16,58150.23,20701.92,37,OK,Female,2.8,OK
BMW-3827,25-03-2034,CORRUPTED,2023,4,Q2,India,India,Mumbai BMW,BMW X3,SUV,Petrol,individual,Individual,INR,INR,1,4869451.07,3.78,4869451.07,OK,53510.45,40040.95,13469.5,35,OK,Prefer not to say,2.8,OK
